City,Type,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM
Somerville,Other,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Somerville,Not Reported,1,2,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Somerville,Unknown Vehicle Configuration,2,5,1,4,2,1,2,4,1,3,3,4,4,3,2,4,2,3,8,3,1,1,0,1
Somerville,Single-unit truck,2,0,1,0,0,0,1,4,3,3,1,2,1,2,4,1,2,1,2,1,0,2,2,0
Somerville,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somerville,Trucktrailer,1,0,0,0,0,1,0,0,0,1,2,0,0,1,1,0,0,1,0,1,1,1,1,0
Springfield,Passenger car,150,101,143,66,55,39,105,220,318,260,277,302,347,370,485,508,596,462,338,221,193,197,140,128
Springfield,Light Truck,6,4,6,4,2,1,10,27,41,36,25,36,32,52,39,30,22,31,19,9,13,9,5,4
Springfield,Bus,0,1,0,0,0,1,1,10,9,3,3,3,9,11,13,14,10,2,1,0,1,1,1,0
Springfield,Motorcycle,1,1,1,1,0,0,0,0,0,2,2,5,3,3,3,6,5,5,6,2,2,3,2,3
Springfield,MOPED,0,0,2,0,0,1,0,0,0,0,0,1,0,1,2,1,3,2,1,1,1,3,1,0
Springfield,Other,0,0,1,0,0,0,0,1,9,2,7,3,4,7,11,2,1,1,0,1,0,0,0,0
Springfield,Not Reported,5,5,4,1,0,1,2,3,2,3,4,3,9,7,9,4,5,2,3,4,6,1,5,3
Springfield,Unknown Vehicle Configuration,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Springfield,Single-unit truck,0,0,0,0,0,1,3,12,4,7,5,8,9,5,7,5,9,4,2,0,1,1,0,0
Springfield,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Springfield,Trucktrailer,0,0,1,0,1,1,2,2,2,9,2,3,4,1,4,4,3,4,4,2,0,1,1,2
Taunton,Passenger car,18,16,16,11,8,8,26,53,51,54,57,55,91,78,77,101,104,90,72,40,37,32,18,17
Taunton,Light Truck,2,3,3,0,3,2,11,16,21,18,12,17,19,20,31,24,32,25,25,14,11,7,6,7
