City,Street,Time,value
Brockton,MAIN ST,7 AM,4
Brockton,MAIN ST,8 AM,4
Brockton,MAIN ST,9 AM,1
Brockton,MAIN ST,10 AM,6
Brockton,MAIN ST,11 AM,4
Brockton,MAIN ST,12 PM,10
Brockton,MAIN ST,1 PM,9
Brockton,MAIN ST,2 PM,13
Brockton,MAIN ST,3 PM,10
Brockton,MAIN ST,4 PM,17
Brockton,MAIN ST,5 PM,9
Brockton,MAIN ST,6 PM,4
Brockton,MAIN ST,7 PM,5
Brockton,MAIN ST,8 PM,6
Brockton,MAIN ST,9 PM,6
Brockton,MAIN ST,10 PM,2
Brockton,MAIN ST,11 PM,1
Brockton,BELMONT ST,12 AM,0
Brockton,BELMONT ST,1 AM,1
Brockton,BELMONT ST,2 AM,1
Brockton,BELMONT ST,3 AM,3
Brockton,BELMONT ST,4 AM,1
Brockton,BELMONT ST,5 AM,0
Brockton,BELMONT ST,6 AM,1
Brockton,BELMONT ST,7 AM,7
Brockton,BELMONT ST,8 AM,7
Brockton,BELMONT ST,9 AM,6
Brockton,BELMONT ST,10 AM,5
Brockton,BELMONT ST,11 AM,5
Brockton,BELMONT ST,12 PM,14
Brockton,BELMONT ST,1 PM,8
Brockton,BELMONT ST,2 PM,13
Brockton,BELMONT ST,3 PM,11
Brockton,BELMONT ST,4 PM,10
Brockton,BELMONT ST,5 PM,8
Brockton,BELMONT ST,6 PM,6
Brockton,BELMONT ST,7 PM,3
Brockton,BELMONT ST,8 PM,3
Brockton,BELMONT ST,9 PM,2
Brockton,BELMONT ST,10 PM,0
Brockton,BELMONT ST,11 PM,0
Brockton,PLEASANT ST,12 AM,1
Brockton,PLEASANT ST,1 AM,3
Brockton,PLEASANT ST,2 AM,1
Brockton,PLEASANT ST,3 AM,2
Brockton,PLEASANT ST,4 AM,0
Brockton,PLEASANT ST,5 AM,0
Brockton,PLEASANT ST,6 AM,1
Brockton,PLEASANT ST,7 AM,3
Brockton,PLEASANT ST,8 AM,7
Brockton,PLEASANT ST,9 AM,6
Brockton,PLEASANT ST,10 AM,4
Brockton,PLEASANT ST,11 AM,3
Brockton,PLEASANT ST,12 PM,6
Brockton,PLEASANT ST,1 PM,7
Brockton,PLEASANT ST,2 PM,5
Brockton,PLEASANT ST,3 PM,5
Brockton,PLEASANT ST,4 PM,9
Brockton,PLEASANT ST,5 PM,5
Brockton,PLEASANT ST,6 PM,3
Brockton,PLEASANT ST,7 PM,8
Brockton,PLEASANT ST,8 PM,0
Brockton,PLEASANT ST,9 PM,2
Brockton,PLEASANT ST,10 PM,4
Brockton,PLEASANT ST,11 PM,1
Brockton,WARREN AVE,12 AM,0
Brockton,WARREN AVE,1 AM,2
Brockton,WARREN AVE,2 AM,1
Brockton,WARREN AVE,3 AM,0
Brockton,WARREN AVE,4 AM,1
Brockton,WARREN AVE,5 AM,0
Brockton,WARREN AVE,6 AM,0
Brockton,WARREN AVE,7 AM,3
Brockton,WARREN AVE,8 AM,2
Brockton,WARREN AVE,9 AM,3
Brockton,WARREN AVE,10 AM,1
Brockton,WARREN AVE,11 AM,2
Brockton,WARREN AVE,12 PM,4
Brockton,WARREN AVE,1 PM,5
Brockton,WARREN AVE,2 PM,5
Brockton,WARREN AVE,3 PM,7
Brockton,WARREN AVE,4 PM,8
Brockton,WARREN AVE,5 PM,5
Brockton,WARREN AVE,6 PM,4
Brockton,WARREN AVE,7 PM,9
Brockton,WARREN AVE,8 PM,4
Brockton,WARREN AVE,9 PM,3
Brockton,WARREN AVE,10 PM,0
Brockton,WARREN AVE,11 PM,1
Brockton,CRESCENT ST,12 AM,2
Brockton,CRESCENT ST,1 AM,1
Brockton,CRESCENT ST,2 AM,0
Brockton,CRESCENT ST,3 AM,0
Brockton,CRESCENT ST,4 AM,0
Brockton,CRESCENT ST,5 AM,0
Brockton,CRESCENT ST,6 AM,2
Brockton,CRESCENT ST,7 AM,5
Brockton,CRESCENT ST,8 AM,4
Brockton,CRESCENT ST,9 AM,4
Brockton,CRESCENT ST,10 AM,1
Brockton,CRESCENT ST,11 AM,4
Brockton,CRESCENT ST,12 PM,3
Brockton,CRESCENT ST,1 PM,9
Brockton,CRESCENT ST,2 PM,3
Brockton,CRESCENT ST,3 PM,2
Brockton,CRESCENT ST,4 PM,4
Brockton,CRESCENT ST,5 PM,4
Brockton,CRESCENT ST,6 PM,7
Brockton,CRESCENT ST,7 PM,2
Brockton,CRESCENT ST,8 PM,3
Brockton,CRESCENT ST,9 PM,2
Brockton,CRESCENT ST,10 PM,0
Brockton,CRESCENT ST,11 PM,0
Brockton,CENTRE ST,12 AM,0
Brockton,CENTRE ST,1 AM,1
Brockton,CENTRE ST,2 AM,0
Brockton,CENTRE ST,3 AM,1
Brockton,CENTRE ST,4 AM,0
Brockton,CENTRE ST,5 AM,0
Brockton,CENTRE ST,6 AM,1
Brockton,CENTRE ST,7 AM,1
Brockton,CENTRE ST,8 AM,3
Brockton,CENTRE ST,9 AM,4
Brockton,CENTRE ST,10 AM,0
Brockton,CENTRE ST,11 AM,5
Brockton,CENTRE ST,12 PM,4
Brockton,CENTRE ST,1 PM,3
Brockton,CENTRE ST,2 PM,4
Brockton,CENTRE ST,3 PM,3
Brockton,CENTRE ST,4 PM,5
Brockton,CENTRE ST,5 PM,7
Brockton,CENTRE ST,6 PM,2
Brockton,CENTRE ST,7 PM,3
Brockton,CENTRE ST,8 PM,3
Brockton,CENTRE ST,9 PM,0
Brockton,CENTRE ST,10 PM,1
Brockton,CENTRE ST,11 PM,1
Brockton,MONTELLO ST,12 AM,1
Brockton,MONTELLO ST,1 AM,0
Brockton,MONTELLO ST,2 AM,2
Brockton,MONTELLO ST,3 AM,0
Brockton,MONTELLO ST,4 AM,0
Brockton,MONTELLO ST,5 AM,1
Brockton,MONTELLO ST,6 AM,2
Brockton,MONTELLO ST,7 AM,1
Brockton,MONTELLO ST,8 AM,3
Brockton,MONTELLO ST,9 AM,3
Brockton,MONTELLO ST,10 AM,6
Brockton,MONTELLO ST,11 AM,3
Brockton,MONTELLO ST,12 PM,1
Brockton,MONTELLO ST,1 PM,2
Brockton,MONTELLO ST,2 PM,2
Brockton,MONTELLO ST,3 PM,4
Brockton,MONTELLO ST,4 PM,5
Brockton,MONTELLO ST,5 PM,4
Brockton,MONTELLO ST,6 PM,3
Brockton,MONTELLO ST,7 PM,0
Brockton,MONTELLO ST,8 PM,2
Brockton,MONTELLO ST,9 PM,3
Brockton,MONTELLO ST,10 PM,2
Brockton,MONTELLO ST,11 PM,1
Brockton,OAK ST,12 AM,2
Brockton,OAK ST,1 AM,1
Brockton,OAK ST,2 AM,0
Brockton,OAK ST,3 AM,0
Brockton,OAK ST,4 AM,0
Brockton,OAK ST,5 AM,0
Brockton,OAK ST,6 AM,1
Brockton,OAK ST,7 AM,0
Brockton,OAK ST,8 AM,2
Brockton,OAK ST,9 AM,2
Brockton,OAK ST,10 AM,3
Brockton,OAK ST,11 AM,3
Brockton,OAK ST,12 PM,5
Brockton,OAK ST,1 PM,3
Brockton,OAK ST,2 PM,5
Brockton,OAK ST,3 PM,5
Brockton,OAK ST,4 PM,2
Brockton,OAK ST,5 PM,5
Brockton,OAK ST,6 PM,2
Brockton,OAK ST,7 PM,2
Brockton,OAK ST,8 PM,2
Brockton,OAK ST,9 PM,2
Brockton,OAK ST,10 PM,1
Brockton,OAK ST,11 PM,0
Brockton,N MONTELLO ST,12 AM,2
Brockton,N MONTELLO ST,1 AM,2
Brockton,N MONTELLO ST,2 AM,0
Brockton,N MONTELLO ST,3 AM,1
Brockton,N MONTELLO ST,4 AM,0
Brockton,N MONTELLO ST,5 AM,0
Brockton,N MONTELLO ST,6 AM,0
Brockton,N MONTELLO ST,7 AM,3
Brockton,N MONTELLO ST,8 AM,2
Brockton,N MONTELLO ST,9 AM,2
Brockton,N MONTELLO ST,10 AM,1
Brockton,N MONTELLO ST,11 AM,1
Brockton,N MONTELLO ST,12 PM,1
Brockton,N MONTELLO ST,1 PM,5
Brockton,N MONTELLO ST,2 PM,3
Brockton,N MONTELLO ST,3 PM,3
Brockton,N MONTELLO ST,4 PM,5
Brockton,N MONTELLO ST,5 PM,7
Brockton,N MONTELLO ST,6 PM,1
Brockton,N MONTELLO ST,7 PM,0
Brockton,N MONTELLO ST,8 PM,1
Brockton,N MONTELLO ST,9 PM,4
Brockton,N MONTELLO ST,10 PM,1
Brockton,N MONTELLO ST,11 PM,0
Brockton,FOREST AVE,12 AM,2
Brockton,FOREST AVE,1 AM,1
Brockton,FOREST AVE,2 AM,0
Brockton,FOREST AVE,3 AM,1
Brockton,FOREST AVE,4 AM,0
Brockton,FOREST AVE,5 AM,3
Brockton,FOREST AVE,6 AM,2
Brockton,FOREST AVE,7 AM,2
Brockton,FOREST AVE,8 AM,1
Brockton,FOREST AVE,9 AM,1
Brockton,FOREST AVE,10 AM,3
Brockton,FOREST AVE,11 AM,1
Brockton,FOREST AVE,12 PM,1
Brockton,FOREST AVE,1 PM,2
Brockton,FOREST AVE,2 PM,5
Brockton,FOREST AVE,3 PM,4
Brockton,FOREST AVE,4 PM,1
Brockton,FOREST AVE,5 PM,2
Brockton,FOREST AVE,6 PM,3
Brockton,FOREST AVE,7 PM,0
Brockton,FOREST AVE,8 PM,3
Brockton,FOREST AVE,9 PM,0
Brockton,FOREST AVE,10 PM,2
Brockton,FOREST AVE,11 PM,2
Brookline,BEACON STREET,12 AM,0
Brookline,BEACON STREET,1 AM,0
Brookline,BEACON STREET,2 AM,0
Brookline,BEACON STREET,3 AM,0
Brookline,BEACON STREET,4 AM,0
Brookline,BEACON STREET,5 AM,1
Brookline,BEACON STREET,6 AM,2
Brookline,BEACON STREET,7 AM,2
Brookline,BEACON STREET,8 AM,0
Brookline,BEACON STREET,9 AM,1
Brookline,BEACON STREET,10 AM,0
Brookline,BEACON STREET,11 AM,1
Brookline,BEACON STREET,12 PM,5
Brookline,BEACON STREET,1 PM,1
Brookline,BEACON STREET,2 PM,1
Brookline,BEACON STREET,3 PM,1
Brookline,BEACON STREET,4 PM,2
Brookline,BEACON STREET,5 PM,1
Brookline,BEACON STREET,6 PM,3
Brookline,BEACON STREET,7 PM,0
Brookline,BEACON STREET,8 PM,0
Brookline,BEACON STREET,9 PM,1
Brookline,BEACON STREET,10 PM,0
Brookline,BEACON STREET,11 PM,22
Brookline,HARVARD STREET,12 AM,0
Brookline,HARVARD STREET,1 AM,0
Brookline,HARVARD STREET,2 AM,0
Brookline,HARVARD STREET,3 AM,0
Brookline,HARVARD STREET,4 AM,0
Brookline,HARVARD STREET,5 AM,0
Brookline,HARVARD STREET,6 AM,1
Brookline,HARVARD STREET,7 AM,0
Brookline,HARVARD STREET,8 AM,1
Brookline,HARVARD STREET,9 AM,1
Brookline,HARVARD STREET,10 AM,5
Brookline,HARVARD STREET,11 AM,0
Brookline,HARVARD STREET,12 PM,1
Brookline,HARVARD STREET,1 PM,1
Brookline,HARVARD STREET,2 PM,0
Brookline,HARVARD STREET,3 PM,0
Brookline,HARVARD STREET,4 PM,1
Brookline,HARVARD STREET,5 PM,2
Brookline,HARVARD STREET,6 PM,2
Brookline,HARVARD STREET,7 PM,0
Brookline,HARVARD STREET,8 PM,0
Brookline,HARVARD STREET,9 PM,1
Brookline,HARVARD STREET,10 PM,1
Brookline,HARVARD STREET,11 PM,17
Brookline,WASHINGTON STREET,12 AM,0
Brookline,WASHINGTON STREET,1 AM,0
Brookline,WASHINGTON STREET,2 AM,0
Brookline,WASHINGTON STREET,3 AM,0
Brookline,WASHINGTON STREET,4 AM,0
Brookline,WASHINGTON STREET,5 AM,0
Brookline,WASHINGTON STREET,6 AM,1
