City,Street,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM
Plymouth,Rte 3 S ,1,2,,,,,,2,1,1,,,2,2,1,5,2,2,3,1,,1,,1
Plymouth,SAMOSET STREET,,,,,,,,,2,1,,2,,,3,4,7,3,1,1,,1,1,
Plymouth,Rte 3 N,,,,,,,,4,2,,1,1,,1,4,1,2,,1,,2,1,1,
Plymouth,Rte 3 S,1,,,,1,,,1,,,,2,1,3,1,3,1,,1,1,,2,,1
Plymouth,COURT STREET ,,,,,,,,1,1,1,1,2,4,,1,1,,,1,1,,2,,
Plymouth,COMMERCE WAY,,,,,,,,,1,,1,1,3,1,3,1,,1,,2,1,,,
Plymouth,WARREN AVENUE,,1,,,,,,1,2,2,2,1,,,1,,,1,1,,,,1,
Plymouth,CARVER ROAD,1,,,,1,,,,1,1,,,1,,,3,2,1,,1,,,,
Quincy,HANCOCK STREET,1,,,,1,,,2,5,1,3,7,6,8,6,2,4,3,8,,2,6,2,1
Quincy,HONORABLE THOMAS S BURGIN PARKWAY ,1,1,1,,,,5,,3,3,2,3,7,2,5,4,4,2,2,3,4,5,1,
Quincy,Rte 93 S,1,,,,2,,1,1,3,2,5,2,2,1,4,6,7,2,3,,,4,,1
Quincy,SOUTHERN ARTERY,,3,,,1,,2,,1,3,2,,4,4,2,5,3,3,3,1,,,,
Quincy,QUINCY SHORE DRIVE ,,1,,,,,,2,,3,,3,2,2,4,2,2,2,2,2,3,1,3,2
Quincy,Rte 93 N ,,1,,,1,,1,1,1,1,,1,3,1,4,3,1,1,4,1,4,1,1,1
Quincy,FURNACE BROOK PARKWAY ,,1,,,2,,1,2,3,4,1,1,1,2,2,2,1,2,1,,,,2,1
Quincy,WASHINGTON STREET ,1,1,,,,,,1,4,,1,1,2,1,3,2,1,4,1,3,,1,,1
Quincy,QUINCY AV,,,,,,,,,1,1,,1,3,3,2,2,1,1,2,3,,,,
Quincy,SEA STREET,1,,,,,,,3,2,1,2,,1,,1,,1,,,1,1,,2,
Somerville,BROADWAY ,1,1,,,,,1,6,2,4,3,4,2,5,3,5,6,2,4,,,1,4,
Somerville,WASHINGTON STREET ,,,,1,,1,,1,1,3,1,2,2,1,2,1,,3,,1,,1,1,
Somerville,SOMERVILLE AVENUE ,,,1,,,1,,2,3,1,1,2,1,,1,2,,2,4,1,,,,
Somerville,HIGHLAND AVENUE,1,1,,,,,,,2,2,,1,3,1,1,2,,3,1,1,1,,1,
Somerville,MYSTIC AVENUE ,,,,,1,,,1,1,1,,1,1,,2,2,,2,1,,2,,,1
Somerville,SUMMER STREET ,,1,,1,,,1,,,1,1,1,3,1,1,,1,1,2,,,,,
Somerville,Rte 93 S ,,,,,,1,,,,,3,1,,,,,,4,,1,,,4,1
Somerville,BEACON STREET,,,,,,,2,1,2,2,,,,,,1,,,3,1,,1,,
